ind_income,genQ,te,tr,QMR,CAP,MA,vd,vma,O,P,alfa,epsilon,ft,fop,ec,r_cc,r_tp,area,goalQ,temination,OF_value,income,income_vma,income_vd,cost_infraest,cost_transport,cost_acquis,cost_transf,y,z,x,R,Rmax,Rmin,Q_coll,Q_transf,goal_ratio,%income_vd,%income_vma,std_profit,maxmin_profit
0.1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,246654.5,1609653.5,1567500.0,42153.5,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,2.6,97.4,-1.3454260421072168,0.09364368769546355
0.11,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,250869.9,1613868.8,1567500.0,46368.8,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,2.9,97.1,-1.3123982334958493,0.1030081675396392
0.12,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,255085.2,1618084.2,1567500.0,50584.2,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,3.1,96.9,-1.2793712083880306,0.11237242523455632
0.13,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,259300.6,1622299.5,1567500.0,54799.5,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,3.4,96.6,-1.2463433997766629,0.12173690507873197
0.14,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,263515.9,1626514.9,1567500.0,59014.9,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,3.6,96.4,-1.2133163746688445,0.13110116277364908
0.15,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,267731.2,1630730.2,1567500.0,63230.2,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.55), ((2, 3, 2), 0.934293193717278), ((3, 3, 2), 0.3), ((4, 3, 2), 0.2)]","{1: 1.0, 2: 0.9582494294536186, 3: 1.0, 4: 1.0}",1.0,0.958,2.984293193717278,2.2800000000000002,1.884,3.9,96.1,-1.180289349561026,0.14046542046856608
0.16,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,271946.6,1634945.5,1567500.0,67445.5,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.509293193717277), ((2, 3, 2), 0.975), ((3, 3, 2), 0.3), ((4, 3, 2), 0.2)]","{1: 0.9737375443337272, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,0.974,2.984293193717277,2.28,1.884,4.1,95.9,-1.1472615409496587,0.14982990031274163
0.17,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,276161.9,1639160.9,1567500.0,71660.9,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,4.4,95.6,-1.1142345158418399,0.15919415800765885
0.18,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,280377.3,1643376.2,1567500.0,75876.2,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,4.6,95.4,-1.0812067072304723,0.1685586378518344
0.19,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,284592.6,1647591.6,1567500.0,80091.6,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.509293193717277), ((2, 3, 2), 0.9749999999999999), ((3, 3, 2), 0.3), ((4, 3, 2), 0.2)]","{1: 0.9737375443337272, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,0.974,2.984293193717277,2.28,1.884,4.9,95.1,-1.048179682122654,0.1779228955467515
